username,id,name,joinDate,firstPublishedPostDate,postsCount,photosCount,videosCount,favoritedCount,favoritesCount,subscribePrice,isVerified,isPerformer,raw_json_path,status,_age_months,_likes_val,_posts_val,profile_link
yurikocomedy,519306272,Yuriko,2025-08-21T00:00:00+00:00,2025-08-28T00:00:00+00:00,24.0,23.0,7.0,267.0,51.0,0.0,True,True,json_data\519306272.json,ok,1.81,267.0,,https://onlyfans.com/519306272
scarletchaseoftv,505016713,Scarlet Chase,2025-06-11T00:00:00+00:00,2025-08-20T00:00:00+00:00,2.0,2.0,0.0,68.0,0.0,0.0,False,True,json_data\505016713.json,ok,4.14,68.0,,https://onlyfans.com/505016713
averypoppinga,468909268,Avery Poppinga,2024-12-31T00:00:00+00:00,2025-02-01T00:00:00+00:00,575.0,795.0,115.0,54910.0,40.0,0.0,True,True,json_data\468909268.json,ok,9.46,54910.0,,https://onlyfans.com/468909268
hagensmith,468910032,Hagen,2024-12-31T00:00:00+00:00,2025-01-31T00:00:00+00:00,236.0,253.0,33.0,3120.0,31.0,0.0,True,True,json_data\468910032.json,ok,9.46,3120.0,,https://onlyfans.com/468910032
justpeechitv,514041293,JustPeechi,2025-07-25T00:00:00+00:00,2025-09-04T00:00:00+00:00,6.0,6.0,0.0,1037.0,0.0,0.0,True,True,json_data\514041293.json,ok,2.69,1037.0,,https://onlyfans.com/514041293
collina,521870133,Hillary Taymour,2025-09-04T00:00:00+00:00,2025-09-05T00:00:00+00:00,21.0,24.0,2.0,222.0,13.0,0.0,True,True,json_data\521870133.json,ok,1.35,222.0,,https://onlyfans.com/521870133
josephparsons,519118050,Joseph Parsons,2025-08-20T00:00:00+00:00,2025-08-29T00:00:00+00:00,29.0,32.0,6.0,426.0,4.0,0.0,True,True,json_data\519118050.json,ok,1.84,426.0,,https://onlyfans.com/519118050
samnicoresti,521278995,Sam Nicoresti,2025-09-01T00:00:00+00:00,2025-09-02T00:00:00+00:00,13.0,45.0,13.0,80.0,0.0,0.0,True,True,json_data\521278995.json,ok,1.45,80.0,,https://onlyfans.com/521278995
paigeuncaged,464355707,Paige,2024-12-11T00:00:00+00:00,2025-06-07T00:00:00+00:00,12.0,12.0,0.0,3910.0,0.0,0.0,True,True,json_data\464355707.json,ok,10.12,3910.0,,https://onlyfans.com/464355707
sierraskye2,464573086,Sierra Skye,2024-12-12T00:00:00+00:00,2024-12-23T00:00:00+00:00,42.0,78.0,0.0,5166.0,0.0,0.0,True,True,json_data\464573086.json,ok,10.09,5166.0,,https://onlyfans.com/464573086
ecambagetv,518391368,Liz Cambage,2025-08-16T00:00:00+00:00,2025-09-01T00:00:00+00:00,5.0,5.0,0.0,422.0,0.0,0.0,True,True,json_data\518391368.json,ok,1.97,422.0,,https://onlyfans.com/518391368
ariraetv,453125184,Ari Rae,2024-10-24T00:00:00+00:00,2024-10-26T00:00:00+00:00,453.0,447.0,5.0,20811.0,0.0,0.0,True,True,json_data\453125184.json,ok,11.7,20811.0,,https://onlyfans.com/453125184
chloshowlab,514271552,Chlo LaBranche,2025-07-27T00:00:00+00:00,2025-07-29T00:00:00+00:00,31.0,25.0,5.0,578.0,1.0,0.0,True,True,json_data\514271552.json,ok,2.63,578.0,,https://onlyfans.com/514271552
cabwashington,514001688,Cab Washington,2025-07-25T00:00:00+00:00,2025-07-29T00:00:00+00:00,21.0,10.0,13.0,84.0,3.0,0.0,True,True,json_data\514001688.json,ok,2.69,84.0,,https://onlyfans.com/514001688
clairetawny,488620522,Claire Tawny,2025-03-27T00:00:00+00:00,2025-03-31T00:00:00+00:00,21.0,29.0,0.0,1410.0,195.0,0.0,True,True,json_data\488620522.json,ok,6.64,1410.0,,https://onlyfans.com/488620522
miahuffmanoftv,458910949,Mia Huffman OFTV,2024-11-20T00:00:00+00:00,2025-02-10T00:00:00+00:00,32.0,69.0,0.0,2529.0,1.0,0.0,True,True,json_data\458910949.json,ok,10.81,2529.0,,https://onlyfans.com/458910949
sachiavick,467659383,Sachia Vickery,2024-12-26T00:00:00+00:00,2025-01-13T00:00:00+00:00,49.0,36.0,16.0,4487.0,2.0,12.99,True,True,json_data\467659383.json,ok,9.63,4487.0,,https://onlyfans.com/467659383
crystalrose.free,462476925,Crystal Rose Free,2024-12-04T00:00:00+00:00,2025-02-12T00:00:00+00:00,165.0,171.0,2.0,9131.0,0.0,0.0,True,True,json_data\462476925.json,ok,10.35,9131.0,,https://onlyfans.com/462476925
ppwyang2,482254995,Paris,2025-02-26T00:00:00+00:00,2025-03-28T00:00:00+00:00,11.0,17.0,0.0,763.0,0.0,0.0,True,True,json_data\482254995.json,ok,7.59,763.0,,https://onlyfans.com/482254995
mylesswagson,484883281,Myles Johnson,2025-03-10T00:00:00+00:00,2025-03-11T00:00:00+00:00,84.0,43.0,16.0,71.0,4.0,0.0,True,True,json_data\484883281.json,ok,7.19,71.0,,https://onlyfans.com/484883281
irenetu,502542446,Irene Tu,2025-05-30T00:00:00+00:00,2025-06-01T00:00:00+00:00,42.0,25.0,13.0,104.0,0.0,0.0,True,True,json_data\502542446.json,ok,4.53,104.0,,https://onlyfans.com/502542446
livmacdonald,481881787,Liv Mac,2025-02-25T00:00:00+00:00,2025-03-08T00:00:00+00:00,442.0,512.0,35.0,31655.0,85.0,0.0,True,True,json_data\481881787.json,ok,7.62,31655.0,,https://onlyfans.com/481881787
