_view,id,type
r,238901966,"linked,mentioned"
r,42611686,"linked,mentioned"
r,255296944,"linked,mentioned"
r,31094753,"linked,mentioned"
r,375096844,"linked,mentioned"
r,572366,"linked,mentioned"
r,229020777,"linked,mentioned"
r,243730691,"linked,mentioned"
r,363030086,"linked,mentioned"
r,399191073,"linked,mentioned"
r,80571854,"linked,mentioned"
r,392983124,"linked,mentioned"
r,196152779,"linked,mentioned"
r,51792031,"linked,mentioned"
r,287167268,"linked,mentioned"
r,445752425,"linked,mentioned"
r,364206583,"linked,mentioned"
r,5157317,"linked,mentioned"
r,388961187,"linked,mentioned"
r,505619688,"linked,mentioned"
r,317500543,"linked,mentioned"
r,463875131,"linked,mentioned"
r,495925850,"linked,mentioned"
r,2951942,"linked,mentioned"
r,184340596,"linked,mentioned"
r,36547876,"linked,mentioned"
r,464573086,"linked,mentioned"
r,15227495,"linked,mentioned"
r,440705362,"linked,mentioned"
r,46691486,"linked,mentioned"
r,256001839,"linked,mentioned"
r,388768086,"linked,mentioned"
r,82517634,linked
r,20572336,"linked,mentioned"
r,209447992,"linked,mentioned"
r,434896809,"linked,mentioned"
r,444069141,"linked,mentioned"
r,63312308,"linked,mentioned"
r,394626246,"linked,mentioned"
r,421074296,"linked,mentioned"
r,261554324,"linked,mentioned"
r,115022528,"linked,mentioned"
r,277993940,"linked,mentioned"
r,232061351,"linked,mentioned"
r,83811033,"linked,mentioned"
r,55418509,"linked,mentioned"
r,447522860,"linked,mentioned"
r,461113377,"linked,mentioned"
r,60988765,"linked,mentioned"
r,399498808,"linked,mentioned"
r,452949358,"linked,mentioned"
r,28318033,"linked,mentioned"
r,134655159,"linked,mentioned"
r,417381795,"linked,mentioned"
r,394258288,"linked,mentioned"
r,401656362,"linked,mentioned"
r,124071283,"linked,mentioned"
r,444837488,"linked,mentioned"
r,183783800,"linked,mentioned"
r,321238063,"linked,mentioned"
r,374809156,"linked,mentioned"
r,32157577,"linked,mentioned"
r,267481180,"linked,mentioned"
r,24569249,"linked,mentioned"
r,219491871,"linked,mentioned"
r,49779915,"linked,mentioned"
r,253691327,"linked,mentioned"
r,434976927,"linked,mentioned"
r,332933979,"linked,mentioned"
r,57488749,"linked,mentioned"
r,254095899,"linked,mentioned"
r,402548919,"linked,mentioned"
r,408299320,"linked,mentioned"
r,357589339,"linked,mentioned"
r,463840713,"linked,mentioned"
r,367320113,"linked,mentioned"
r,140161952,"linked,mentioned"
r,311428905,"linked,mentioned"
r,130699374,"linked,mentioned"
r,357902740,"linked,mentioned"
r,226212434,"linked,mentioned"
r,421686065,"linked,mentioned"
r,227613906,"linked,mentioned"
r,130477007,"linked,mentioned"
r,434953592,"linked,mentioned"
r,181536352,"linked,mentioned"
r,365262611,"linked,mentioned"
r,231333468,"linked,mentioned"
r,88076284,"linked,mentioned"
r,263901728,"linked,mentioned"
r,168827850,"linked,mentioned"
r,324712834,"linked,mentioned"
r,299723362,"linked,mentioned"
r,56289095,"linked,mentioned"
r,107002909,"linked,mentioned"
r,210806616,"linked,mentioned"
r,179621809,"linked,mentioned"
r,54951280,"linked,mentioned"
r,177983642,"linked,mentioned"
r,169046712,"linked,mentioned"
r,153775142,"linked,mentioned"
r,152055654,"linked,mentioned"
r,155265297,"linked,mentioned"
r,152448836,"linked,mentioned"
r,389371371,linked
r,240836362,linked
r,126844699,"linked,mentioned"
r,112404466,"linked,mentioned"
r,110243357,"linked,mentioned"
r,398262417,linked
s,66056093,mentioned
s,372315429,mentioned
s,280385128,mentioned
s,152131072,mentioned
s,153201691,mentioned
s,82780178,mentioned
